fiscal_year,month,upi_remitter_banks,total_volume,approved,bd,td,total_debit_reversal_count,debit_reversal_success,units,notes
2025-26,February,AU small Finance Bank,81.88,88,12,0,0.42,52.09,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Airtel Payments Bank Limited,680.62,77.78,21.97,0.25,5.28,89.92,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,February,Axis Bank Ltd.,934.11,94.09,5.91,0,2.35,96.48,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,BANDHAN BANK LIMITED,92.43,94.94,4.8,0.25,0.55,88.1,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Bank Of India,644.12,91.74,7.69,0.57,3.65,86.2,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Bank of Baroda,1460.03,89.37,10.62,0.01,6.43,98.45,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Bank of Maharashtra,229.72,92.28,7.71,0.01,0.73,91.34,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Baroda U.P. Bank,75.3,88.41,4.33,7.26,1.74,38.99,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,CHAITANYA GODAVARI GRAMEENA BANK,41.7,86.75,11.64,1.61,0.34,48.07,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Canara Bank,1029.34,91.63,8.22,0.15,4.01,86.78,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Central Bank of India,357.01,88.96,10.24,0.8,2.44,77.2,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,City Union Bank,57.07,91.46,8.34,0.2,0.17,99.8,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,DBS Bank India Limited,29.9,91.17,8.61,0.22,0.11,76.56,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,EQUITAS SMALL FINANCE BANK,27.51,89.61,10.37,0.02,0.1,97.24,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,ESAF SMALL FINANCE BANK LTD,34.11,96.13,3.61,0.26,0.13,96.43,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,February,Federal Bank Ltd.,266.98,91.74,8.19,0.07,0.67,98.21,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Fino Payments Bank Ltd.,236.38,78.72,21.22,0.06,1.7,92.23,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,February,HDFC Bank Ltd.,1525.33,94.07,5.84,0.09,4.54,80.05,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,ICICI Bank Ltd.,691.15,95.5,4.5,0,1.34,95.44,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,February,IDBI Bank Ltd.,203.74,92.83,7.17,0,0.69,82.31,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,IDFC Bank Ltd.,143.48,92.82,6.77,0.42,0.4,78.32,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,INDIA POST PAYMENTS BANK LIMITED,769.03,82.05,17.36,0.59,5.83,92.78,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Indian Bank,703.41,90.72,9.27,0.01,2.47,95.96,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Indian Overseas Bank,369.12,91.71,8.19,0.09,1.44,90.98,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Indusind Bank Ltd.,222.25,86.77,12.92,0.3,1.2,79.29,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,JIO PAYMENTS BANK LTD,89.08,82.14,17.58,0.28,1.32,95.74,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,KERALA GRAMIN BANK,52.11,92.54,7.17,0.3,0.17,77.41,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Karnataka Bank,145.72,90.8,8.86,0.34,0.64,86.8,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Karnataka Gramin Bank,53.13,87.04,11.51,1.45,0.27,71.7,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Karur Vysya Bank,96.54,92.17,7.69,0.14,0.32,85.04,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Kotak Mahindra Bank,1020.92,90.24,9.76,0,3.58,96.65,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Maharashtra Gramin Bank,38.34,83.03,15.54,1.43,0.24,51.88,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,NSDL Payments Bank Limited,68.12,74.79,20.33,4.88,1.45,69.67,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,February,Punjab National Bank,1150.14,88.49,10.9,0.61,7.15,87.48,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Punjab and Sind Bank,61.26,88.17,11.57,0.26,0.36,91.25,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,RBL Bank Ltd.,31.46,92.52,7.07,0.41,0.12,59.65,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Rajasthan Marudhara Gramin Bank,56.22,84.8,13.35,1.86,0.58,76.17,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,SARVA HARYANA GRAMIN BANK,26.06,89.86,7.47,2.66,0.38,49.96,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Saraswat Co-operative Bank,30.91,94.12,5.51,0.37,0.1,80.1,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Slice Small Finance Bank,60.71,95.03,4.97,0,0.26,92.54,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,February,State Bank of India,5518.02,92.24,7.73,0.04,21.1,98.31,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,TELANGANA GRAMEENA BANK,45.12,86.99,11.67,1.33,0.21,69.3,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Tamilnad Mercantile Bank Limited,59.48,91.34,7.97,0.7,0.2,83.94,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,The Jammu & Kashmir Bank Limited,99.71,92.09,7.77,0.14,0.54,83.17,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,The South Indian Bank Limited,75.83,94.11,5.84,0.06,0.15,97.25,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Tri O Tech Solutions Private Limited,147.62,100,0,0,0,0,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,February,UCO Bank,298.32,87.95,11.84,0.21,1.53,85.27,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,UJJIVAN SMALL FINANCE BANK LIMITED,57.23,87.98,11.95,0.07,0.27,94.09,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,February,Union Bank of India,1285.21,91.21,8.79,0.01,4.61,94.6,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,February,Yes Bank Ltd.,154.27,90.79,9.15,0.06,0.36,91.66,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,AU small Finance Bank,87.17,87.32,12.12,0.56,0.55,79.76,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,Airtel Payments Bank Limited,738.09,78.94,20.89,0.18,5.96,98.39,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,January,Axis Bank Ltd.,1016.49,94.22,5.78,0,2.73,97,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,BANDHAN BANK LIMITED,99.04,95.22,4.49,0.29,0.58,97.6,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,January,Bank Of India,687.39,92.22,7.73,0.05,3.32,96.95,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Bank of Baroda,1542.14,89.46,10.53,0.01,7,99.53,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,Bank of Maharashtra,246.23,92.49,7.5,0.01,0.79,95.72,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,CHAITANYA GODAVARI GRAMEENA BANK,43.44,89.52,9.69,0.8,0.26,69.21,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,Canara Bank,1093.77,90.83,8.63,0.55,4.96,82.46,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Central Bank of India,373.55,89.66,10.06,0.28,2.18,94.26,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,City Union Bank,60.03,91.53,8.42,0.05,0.17,99.82,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,DBS Bank India Limited,31.99,91.47,8.45,0.08,0.1,90.6,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,EQUITAS SMALL FINANCE BANK,29.41,89.89,10.09,0.02,0.11,98.52,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,ESAF SMALL FINANCE BANK LTD,37.02,95.45,3.92,0.63,0.18,78.32,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,January,Federal Bank Ltd.,290.33,92.04,7.93,0.03,0.76,98.66,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Fino Payments Bank Ltd.,229.08,78.32,20.92,0.77,2.3,68.82,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,January,HDFC Bank Ltd.,1651.17,94.08,5.87,0.05,4.63,92.59,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,ICICI Bank Ltd.,764.26,95.29,4.3,0.4,2.11,81.55,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,January,IDBI Bank Ltd.,218.9,92.87,6.98,0.15,0.75,84.37,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,IDFC Bank Ltd.,131.03,92.19,7.78,0.02,0.37,98.02,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,INDIA POST PAYMENTS BANK LIMITED,832.71,82.08,17.28,0.64,6.51,94.82,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,Indian Bank,738.42,90.76,9.05,0.19,2.88,97.69,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Indian Overseas Bank,383.18,91.59,8.2,0.21,1.72,89.05,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Indusind Bank Ltd.,237.56,87.16,12.68,0.16,1.3,82.57,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,JIO PAYMENTS BANK LTD,90.12,82.46,16.83,0.71,1.43,96.76,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,KERALA GRAMIN BANK,57,92.43,7.27,0.3,0.17,89.16,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Karnataka Bank,155.9,90.67,9.09,0.24,0.58,98.12,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Karnataka Gramin Bank,55.87,87.39,11.59,1.02,0.35,59.51,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,Karur Vysya Bank,101.3,92.31,7.55,0.13,0.31,89.68,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Kotak Mahindra Bank,1091.42,90.27,9.73,0,3.9,98.25,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Maharashtra Gramin Bank,41.15,83.7,14.61,1.69,0.29,42.54,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,NSDL Payments Bank Limited,72.22,77.96,20.24,1.8,1.28,77.92,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Poor Performance
2025-26,January,ONE MOBIKWIK SYSTEMS LIMITED,24.65,99.95,0.05,0,0,0,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,January,Punjab National Bank,1222.89,88.58,10.88,0.54,8.57,79.78,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,Punjab and Sind Bank,63.67,88.21,11.08,0.71,0.37,94.72,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,RBL Bank Ltd.,31.06,91.64,7.8,0.56,0.08,85.01,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Rajasthan Marudhara Gramin Bank,57.4,84.87,13.13,1.99,0.58,87.29,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,SARVA HARYANA GRAMIN BANK,27.49,91,7.91,1.1,0.33,67.98,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Saraswat Co-operative Bank,33.06,94.18,5.56,0.27,0.09,89.22,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Slice Small Finance Bank Ltd,56.48,95.04,4.84,0.11,0.29,90.38,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,January,State Bank of India,5855.79,92.07,7.61,0.32,23.23,95.9,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,TELANGANA GRAMEENA BANK,48.68,86.99,10.66,2.34,0.38,48.74,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,Tamilnad Mercantile Bank Limited,61.69,92.17,7.74,0.09,0.18,93.01,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,The Jammu & Kashmir Bank Limited,105.46,91.98,7.71,0.31,0.74,76.46,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,The South Indian Bank Limited,81.99,94.32,5.63,0.06,0.16,99.36,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Tri O Tech Solutions Private Limited,159.92,100,0,0,0,0,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,January,UCO Bank,316.57,88.67,11.31,0.02,1.51,96.97,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,UJJIVAN SMALL FINANCE BANK LIMITED,60.33,88.73,11.11,0.16,0.29,92.79,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,January,Union Bank of India,1353.05,91.03,8.72,0.24,5.87,82.26,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,January,Yes Bank Ltd.,172.58,91.14,8.8,0.06,0.4,92.23,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,AU Small Finance Bank,85.25,88.18,11.66,0.16,0.35,91.62,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,Airtel Payments Bank Limited,713.93,80.83,18.93,0.24,4.42,93.44,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,Andhra Pradesh Grameena Bank,39.67,91.41,7.66,0.93,0.23,55.25,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Axis Bank Ltd.,1107.12,94.87,5.12,0.01,2.11,99.69,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,BANDHAN BANK LIMITED,97.47,95.42,4.58,0,0.43,97.99,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,December,Bank Of India,675.44,92.49,7.29,0.22,2.58,94.4,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Bank of Baroda,1514.5,89.57,10.32,0.11,5.36,98.9,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,Bank of Maharashtra,241.41,92.5,7.23,0.27,0.78,75.21,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Canara Bank,1076.87,90.95,8.24,0.8,4.54,76.4,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Central Bank of India,361.51,89.74,9.46,0.81,2.29,82.16,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,City Union Bank,61.25,91.82,8.11,0.07,0.15,95.68,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,DBS Bank India Limited,32.42,91.93,8.02,0.05,0.08,95.64,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,ESAF Small Finance Bank Ltd,36.95,95.86,3.85,0.3,0.12,96.96,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,December,Equitas Small Finance Bank,29.61,90.25,9.74,0.01,0.09,99.47,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Federal Bank Ltd.,287.32,92.27,7.62,0.11,0.65,95.84,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Fino Payments Bank Ltd.,257.61,81.75,17.75,0.51,1.41,89.47,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,HDFC Bank Ltd.,1654.3,94.3,5.67,0.03,3.88,92.97,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,ICICI Bank Ltd.,777.48,95.74,4.2,0.05,1.4,97.08,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Excellent Performance
2025-26,December,IDBI Bank Ltd.,216.21,92.87,6.73,0.4,0.7,74.23,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,IDFC Bank Ltd.,126.76,92.29,7.68,0.03,0.33,88.23,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,India Post Payments Bank Limited,770.88,84.39,14.98,0.63,4.63,92.76,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,Indian Bank,728.78,91.08,8.69,0.22,2.51,92.97,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Indian Overseas Bank,373.86,91.34,7.65,1.01,1.21,69.35,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Indusind Bank Ltd.,232.46,87.6,12.15,0.25,1.03,76.41,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,JIO Payments Bank Ltd,85.37,80.99,16.26,2.75,1.08,97.16,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,Karnataka Bank,158.04,91.61,8.24,0.15,0.54,94.62,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Karnataka Gramin Bank,53.94,88.85,10.88,0.27,0.22,77.66,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Moderate Performance
2025-26,December,Karur Vysya Bank,102.37,92.51,7.37,0.12,0.3,84.63,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Kerala Gramin Bank,55.2,92.26,7.43,0.31,0.21,67.92,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
2025-26,December,Kotak Mahindra Bank,1075.99,90.79,9.19,0.01,3.01,96.27,"total_volume in millions, approved in percentage, bd in percentage, td in percentage, total_debit_reversal_count in millions, debit_reversal_success in percentage",Good Performance
